"pn",Hospital name,Street address,City,State,"Zip code","Hospital system or, if independent, IPPS/CAH","Is_hospital_a_critical_access_hospital","Hospital Compare 5-star rating (October 2018, NA=Not Available)","Number of outpatient services","Total private allowed amount for outpatient services ($ millions)","Simulated Medicare allowed amount for outpatient services ($ millions)","Relative price for outpatient services","Standardized price per outpatient service","Number of inpatient stays","Total private allowed amount for inpatient services ($ millions)","Simulated Medicare allowed amount for inpatient services ($ millions)","Relative price for inpatient services","Standardized price per inpatient stay","Total private allowed amount for inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for inpatient and outpatient services ($ millions)","Relative price for professional inpatient and outpatient services","Relative price for inpatient facility services","Relative_price_for_outpatient_facility_services","Relative price for inpatient and outpatient services","Total private allowed amount for facility inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions)","Total private allowed amount for professional inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions)"
140084,Vista Medical Center - East,"1324 North Sheridan
Road",Waukegan,IL,60085,Quorum Health,N,2,23,.05,.01,540% ,$550.15,,,,,,,,,,581%,,,,,
140088,University Of Chicago Hospitals,5841 South Maryland,Chicago,IL,60637,"The University of
Chicago Medicin",N,2,1114,5.37,1.20,447% ,$461.97,64,2.35,1.16,202% ,"$23,832",7.72,2.37,160% ,207%,521%,326% ,7.17,2.02,.55,.34
140089,Mcdonough District Hospital,525 East Grant Street,Macomb,IL,61455,Independent (IPPS),N,2,27,.09,.02,477% ,$441.98,,,,,,,,,,528%,,,,,
140091,Carle Foundation Hospital,611 West Park Street,Urbana,IL,61801,The Carle Foundation,N,3,722,.94,.28,336% ,$364.07,23,.45,.20,226% ,"$16,418",1.39,.48,202% ,229%,396%,291% ,1.18,.37,.21,.10
140093,"Presence United Samaritans
Medical Center",812 N Logan Ave,Danville,IL,61832,"OSF Healthcare
System",N,2,38,.07,.02,369% ,$348.11,,,,,,,,,,434%,,,,,
140095,Saint Anthony Hospital,2875 West 19th Street,Chicago,IL,60623,Independent (IPPS),N,2,29,.04,.02,227% ,$237.63,,,,,,,,,,255%,,,,,
140101,Morris Hospital,150 W High St,Morris,IL,60450,"The Morris Hospital
and Healthcar",N,3,63,.16,.05,334% ,$341.95,,,,,,,,,,380%,,,,,
140110,"Ottawa Regional Hospital &
Healthcare Center",1100 East Norris Drive,Ottawa,IL,61350,"OSF Healthcare
System",N,4,50,.07,.02,356% ,$346.77,,,,,,,,,,419%,,,,,
140113,"Presence Covenant Medical
Center","1400 West Park
Avenue",Urbana,IL,61801,"OSF Healthcare
System",N,2,19,.12,.04,271% ,$258.79,,,,,,,,,,314%,,,,,
140114,Swedish Covenant Hospital,5145 N California Ave,Chicago,IL,60625,"Covenant Ministries of
Benevolenc",N,3,184,.30,.23,131% ,$119.19,,,,,,,,,,135%,,,,,
140115,Thorek Memorial Hospital,850 W Irving Park Rd,Chicago,IL,60613,Independent (IPPS),N,2,29,.02,.01,159% ,$158.53,,,,,,,,,,154%,,,,,
140116,Northern Illinois Medical Center,"4201 Medical Center
Drive",Mchenry,IL,60050,"Northwestern
Medicine",N,5,318,.94,.30,318% ,$316.19,19,.23,.13,173% ,"$13,168",1.17,.43,202% ,178%,345%,273% ,1.00,.34,.17,.09
140117,"Presence Resurrection Medical
Center",7435 W Talcott Avenue,Chicago,IL,60631,Ascension Health,N,3,180,.44,.17,254% ,$249.55,23,.37,.20,191% ,"$15,365",.81,.37,126% ,199%,299%,220% ,.73,.30,.08,.06
140118,Metrosouth Medical Center,12935 S Gregory,Blue Island,IL,60406,Quorum Health,N,2,53,.16,.06,282% ,$283.84,,,,,,,,,,335% ,,,,,
140119,Rush University Medical Center,"1653 West Congress
Parkway",Chicago,IL,60612,"Rush System for
Health",N,4,671,1.53,.57,269% ,$276.65,87,3.03,1.68,181% ,"$23,832",4.56,2.25,151% ,184%,307%,203% ,4.11,1.95,.45,.30
140120,Pekin Memorial Hospital,600 South 13th Street,Pekin,IL,61554,Unitypoint Health,N,3,20,.04,.01,374% ,$337.93,,,,,,,,,,428%,,,,,
140122,Adventist Hinsdale Hospital,120 North Oak St,Hinsdale,IL,60521,"Adventist Health
System",N,5,184,.35,.15,235% ,$246.67,21,.22,.14,152% ,"$11,467",.57,.29,114% ,155%,280%,194% ,.51,.24,.06,.05
140125,Gateway Regional,2100 Madison Avenue,Granite City,IL,62040,Quorum Health,N,2,29,.08,.02,344% ,$298.21,,,,,,,,,,381%,,,,,
140127,"Advocate Bromenn Medical
Center",1304 Franklin Avenue,Normal,IL,61761,"Advocate Aurora
Health",N,4,77,.20,.08,258% ,$227.93,12,.22,.11,196% ,"$14,497",.42,.19,174% ,202%,273%,222% ,.37,.16,.05,.03
140130,"Northwestern Lake Forest
Hospital","1000 N Westmoreland
Road",Lake Forest,IL,60045,"Northwestern
Medicine",N,3,295,.75,.24,307% ,$312.38,,,,,,,,,,345%,,,,,
140133,Holy Cross Hospital,2701 W 68th Street,Chicago,IL,60629,Sinai Health System,N,2,38,.05,.03,191% ,$184.41,,,,,,,,,,200% ,,,,,
140135,Decatur Memorial Hospital,"2300 North Edward
Street",Decatur,IL,62526,Independent (IPPS),N,3,104,.23,.07,305% ,$271.67,,,,,,,,,,341%,,,,,
140137,Greenville Regional Hospital,200 Health Care Dr,Greenville,IL,62246,"Hospital Sisters
Health System",N,3,19,.04,.01,295% ,$298.81,,,,,,,,,,352%,,,,,
140143,St. Margarets Hospital,600 E 1st St,Spring Valley,IL,61362,"Sisters of Mary of the
Presentati",N,3,11,.03,.00,652% ,$633.72,,,,,,,,,,768%,,,,,
140145,St. Josephs Hospital,9515 Holy Cross Ln,Breese,IL,62230,"Hospital Sisters
Health System",N,4,12,.01,.01,284% ,$269.94,,,,,,,,,,310%,,,,,
140147,Richland Memorial Hospital,800 East Locust,Olney,IL,62450,The Carle Foundation,N,3,13,.02,.00,480% ,$519.63,,,,,,,,,,636%,,,,,
140148,Memorial Medical Center,701 N First St,Springfield,IL,62702,"Memorial Health
System",N,2,75,.29,.11,259% ,$243.39,14,.35,.18,197% ,"$16,807",.64,.29,130% ,231%,278% ,221% ,.55,.22,.09,.07
140150,"Board Of Trustees Of The
University Of Illinois","1740 West Taylor St
Suite 1400",Chicago,IL,60612,"University of Illinois
Medical Ce",N,1,156,.40,.20,203% ,$200.90,18,.59,.37,162% ,"$24,376",.99,.56,157% ,161%,217%,176% ,.90,.50,.09,.06
140155,Presence St. Marys Hospital,500 W Court St,Kankakee,IL,60901,Ascension Health,N,2,24,.05,.03,197% ,$195.53,,,,,,,,,,218%,,,,,
140158,"Mercy Hospital & Medical
Center",2525 S Michigan Ave,Chicago,IL,60616,Trinity Health,N,1,85,.09,.05,190% ,$196.40,,,,,,,,,,196%,,,,,
140160,Fhn Memorial Hospital,"1045 West Stephenson
Street",Freeport,IL,61032,"Freeport Health
Network",N,3,1635,5.92,1.52,389% ,$383.48,76,1.35,.50,271% ,"$20,501",7.27,2.02,220% ,286%,431%,360% ,6.39,1.62,.88,.40
140161,Saint James Hospital,"2500 West Reynolds
Street",Pontiac,IL,61764,"OSF Healthcare
System",N,4,11,.02,.00,314% ,$321.26,,,,,,,,,,341%,,,,,
140162,St. Joseph Medical Center,2200 E Washington,Bloomington,IL,61701,"OSF Healthcare
System",N,4,85,.16,.05,329% ,$300.49,,,,,,,,,,363%,,,,,
140164,"Memorial Hospital Of
Carbondale",405 W Jackson,Carbondale,IL,62901,"Southern Illinois
Healthcare",N,1,1030,3.41,1.12,303% ,$263.89,102,2.11,.93,227% ,"$17,647",5.53,2.06,167% ,240%,331% ,269% ,4.96,1.72,.57,.34
140166,St Marys Hospital,1800 E Lake Shore Dr,Decatur,IL,62521,"Hospital Sisters
Health System",N,3,70,.20,.06,322% ,$281.76,,,,,,,,,,352% ,,,,,
140167,Iroquois Memorial Hospital,200 Fairman Street,Watseka,IL,60970,Ascension Health,N,3,14,.02,.01,221% ,$211.11,,,,,,,,,,237%,,,,,
140172,Franciscan St. James Health,"20201 S Crawford
Avenue",Olympia Fields,IL,60461,Franciscan Health,N,1,85,.16,.07,230% ,$232.66,,,,,,,,,,260%,,,,,
140174,"Presence Mercy Medical
Center","1325 N Highland
Avenue",Aurora,IL,60506,Ascension Health,N,4,53,.23,.08,297% ,$362.76,,,,,,,,,,351%,,,,,
140176,Memorial Medical Center,3701 Doty Road,Woodstock,IL,60098,"Northwestern
Medicine",N,NA,87,.23,.05,439% ,$426.00,,,,,,,,,,496%,,,,,
140179,Little Company Of Mary,2800 W 95th St,Evergreen Park,IL,60805,"Little Company of
Mary Hospital and
Health Care Centers",N,2,131,.27,.10,274% ,$287.84,20,.26,.12,207% ,"$14,257",.52,.22,139% ,211%,324%,236% ,.48,.19,.05,.04
140180,"Presence Saints Mary &
Elizabeth Medical Center",2233 W Division St,Chicago,IL,60622,Ascension Health,N,5,83,.15,.06,262% ,$258.45,,,,,,,,,,287%,,,,,
140182,"Advocate Northside Health
System","836 West Wellington
Avenue",Chicago,IL,60657,"Advocate Aurora
Health",N,3,256,.72,.26,273% ,$291.01,28,.44,.25,173% ,"$17,727",1.16,.52,133% ,175%,326%,224% ,1.03,.42,.13,.10
140184,"Heartland Regional Medical
Center",3333 W De Young,Marion,IL,62959,Quorum Health,N,3,967,4.21,.96,436% ,$374.63,52,1.41,.38,370% ,"$27,031",5.62,1.35,149% ,428%,511%,418% ,5.21,1.07,.41,.28
140185,Memorial Hospital,4500 Memorial Drive,Belleville,IL,62226,BJC Healthcare,N,2,41,.09,.03,259% ,$235.42,,,,,,,,,,293%,,,,,
140186,Riverside Medical Center,350 N Wall St,Kankakee,IL,60901,"Rush System for
Health",N,4,91,.18,.06,298% ,$269.51,,,,,,,,,,333%,,,,,
140187,St. Elizabeth Hospital,"One St Elizabeth
Boulevard",O Fallon,IL,62269,"Hospital Sisters
Health System",N,3,38,.07,.02,339% ,$350.10,,,,,,,,,,416%,,,,,
140189,"Sarah Bush Lincoln Health
Center","1000 Health Center
Drive P O Box 372",Mattoon,IL,61938,"Sarah Bush Lincoln
Health System",N,3,62,.18,.06,309% ,$295.97,,,,,,,,,,345%,,,,,
140191,Ingalls Memorial Hospital,1 Ingalls Drive,Harvey,IL,60426,"The University of
Chicago Medicin",N,3,244,.28,.11,270% ,$281.08,,,,,,,,,,303%,,,,,
140200,Elmhurst Memorial Hospital,"155 East Brush Hill
Road",Elmhurst,IL,60126,"Edward Elmhurst
Healthcare",N,4,325,.72,.23,310% ,$316.85,24,.54,.22,248% ,"$18,661",1.25,.45,120% ,286%,370%,280% ,1.13,.35,.12,.10
140202,Condell Medical Center,801 S Milwaukee Ave,Libertyville,IL,60048,"Advocate Aurora
Health",N,4,154,.42,.14,309% ,$325.71,18,.42,.23,184% ,"$13,379",.84,.37,196% ,187% ,343%,231% ,.72,.30,.12,.06
140206,Norwegian American Hospital,1044 N Francisco Ave,Chicago,IL,60622,Independent (IPPS),N,1,43,.03,.02,147% ,$146.17,,,,,,,,,,151%,,,,,
140208,Advocate Christ Hospital,4440 W 95th Street,Oak Lawn,IL,60453,"Advocate Aurora
Health",N,2,232,.67,.35,192% ,$184.73,54,1.26,.67,189% ,"$18,013",1.93,1.02,122% ,197%,210%,190% ,1.76,.87,.18,.15
140209,Methodist Medical Ctr Of Illinois,221 N E Glen Oak Ave,Peoria,IL,61636,Unitypoint Health,N,4,64,.24,.05,498% ,$460.72,15,.37,.16,232% ,"$18,769",.61,.21,153% ,247%,605%,293% ,.55,.17,.06,.04
140210,Harrisburg Medical Center  Inc.,"100 Doctor Warren
Tuttle Dr",Harrisburg,IL,62946,Independent (IPPS),N,2,233,.60,.16,363% ,$323.96,12,.11,.07,150% ,"$8,952",.71,.24,178% ,150% ,406%,296% ,.65,.21,.06,.03
140211,Delnor-Community Hospital,300 Randall Rd,Geneva,IL,60134,"Northwestern
Medicine",N,5,249,.81,.26,314% ,$317.16,13,.26,.08,327% ,"$24,598",1.06,.34,184% ,354%,355%,317% ,.93,.26,.14,.07
140213,Silver Cross Hospital,1900 Silver Cross Blvd,New Lenox,IL,60451,Silver Cross Hospital,N,4,203,.43,.19,223% ,$235.53,26,.30,.19,154% ,"$11,070",.73,.39,119% ,159%,262%,189% ,.64,.31,.09,.08
140217,"Presence Saint Joseph
Hospital Elgin",77 N Airlite Street,Elgin,IL,60123,Ascension Health,N,4,36,.18,.05,369% ,$449.67,,,,,,,,,,461%,,,,,
140223,"Advocate Lutheran General
Hospital",1775 Dempster St,Park Ridge,IL,60068,"Advocate Aurora
Health",N,5,249,.76,.28,273% ,$283.07,37,1.09,.52,211% ,"$22,127",1.85,.79,175% ,219%,297%,233% ,1.63,.67,.22,.12
140224,"Presence Saint Joseph
Hosp-Chicago","2900 North Lake Shore
Drive",Chicago,IL,60657,Ascension Health,N,4,103,.30,.13,228% ,$245.71,24,.40,.22,186% ,"$18,499",.70,.35,133% ,195%,252% ,202% ,.63,.29,.07,.05
140228,Swedishamerican Hospital,1401 East State Street,Rockford,IL,61104,UW Health,N,2,3681,11.16,2.86,391% ,$391.86,330,8.23,2.70,305% ,"$26,652",19.39,5.56,176% ,339% ,452%,349% ,17.29,4.36,2.10,1.19
140231,Edward Hospital,801 South Washington,Naperville,IL,60540,"Edward Elmhurst
Healthcare",N,5,864,2.31,.73,318% ,$311.89,66,.99,.56,175% ,"$13,561",3.30,1.29,153% ,187%,357% ,256% ,2.88,1.02,.41,.27
140233,Saint Anthony Medical Center,5666 East State Street,Rockford,IL,61108,"OSF Healthcare
System",N,2,2386,6.31,2.09,302% ,$288.99,197,6.36,2.16,294% ,"$25,339",12.67,4.25,219% ,321% ,318%,298% ,10.66,3.33,2.01,.92
140234,"Illinois Valley Community
Hospital",925 West St,Peru,IL,61354,"OSF Healthcare
System",N,3,23,.08,.02,346% ,$320.81,,,,,,,,,,350%,,,,,
140239,Rockford Memorial Hospital,"2400 North Rockton
Avenue",Rockford,IL,61103,Mercy Health,N,3,2489,9.24,2.80,331% ,$312.82,392,11.66,4.28,273% ,"$27,899",20.91,7.07,184% ,296%,367%,296% ,18.29,5.66,2.61,1.42
140242,Central Dupage Hospital,25 North Winfield Road,Winfield,IL,60190,"Northwestern
Medicine",N,5,461,1.27,.37,346% ,$364.07,34,1.09,.36,304% ,"$23,309",2.36,.73,194% ,320%,408%,325% ,2.06,.57,.31,.16
140250,South Suburban Hospital,17800 S Kedzie Ave,Hazel Crest,IL,60429,"Advocate Aurora
Health",N,3,99,.19,.08,236% ,$236.33,11,.16,.09,180% ,"$13,117",.35,.17,143% ,186%,259%,207% ,.31,.14,.04,.03
140251,"Community First Medical
Center",5645 W Addison Street,Chicago,IL,60634,Independent (IPPS),N,1,34,.06,.03,206% ,$198.65,,,,,,,,,,228%,,,,,
140252,Northwest Community Hospital,800 W Central Road,"Arlington
Heights",IL,60005,"Northwest Community
Healthcare",N,3,387,.63,.32,199% ,$199.30,39,.57,.35,164% ,"$12,628",1.20,.66,118% ,182%,218%,181% ,1.02,.51,.18,.15
140258,"Alexian Brothers Medical
Center",800 W Biesterfield Rd,"Elk Grove
Village",IL,60007,Ascension Health,N,4,163,.36,.13,279% ,$279.42,11,.27,.13,209% ,"$17,200",.63,.26,114% ,249%,320%,244% ,.56,.20,.07,.06
140275,Genesis Medical Center - Silvis,801 Illini Drive,Silvis,IL,61282,"Genesis Health
System",N,2,38,.08,.03,306% ,$279.59,,,,,,,,,,339%,,,,,
140276,"Loyola University Medical
Center",2160 S 1st Avenue,Maywood,IL,60153,Trinity Health,N,2,460,.93,.37,250% ,$238.56,15,1.04,.37,280% ,"$35,455",1.97,.74,165% ,288%,276%,265% ,1.78,.63,.18,.11
140280,Trinity Rock Island,2701 17th St,Rock Island,IL,61201,Unitypoint Health,N,3,108,.19,.10,179% ,$157.98,,,,,,,,,,177% ,,,,,
140281,"Northwestern Memorial
Hospital",251 E Huron St,Chicago,IL,60611,"Northwestern
Medicine",N,3,2143,7.00,2.24,313% ,$302.72,255,5.84,3.05,192% ,"$19,267",12.85,5.29,175% ,199% ,343%,243% ,11.32,4.42,1.53,.87
140286,"Kishwaukee Community
Hospital",1 Kish Hospital Drive,Dekalb,IL,60115,"Northwestern
Medicine",N,3,149,.57,.11,528% ,$517.85,14,.44,.11,406% ,"$32,063",1.01,.22,219% ,476%,602%,466% ,.90,.17,.11,.05
140288,"Advocate Good Samaritan
Hospital",3815 Highland Avenue,Downers Grove,IL,60515,"Advocate Aurora
Health",N,4,170,.54,.19,283% ,$273.07,33,.65,.27,236% ,"$18,520",1.18,.46,150% ,253%,313%,255% ,1.07,.39,.11,.08
140289,Anderson Hospital,6800 State Route 162,Maryville,IL,62062,"Community Memorial
Hospital Assoc",N,3,56,.08,.04,232% ,$214.95,,,,,,,,,,262%,,,,,
140290,St. Alexius Medical Center,1555 N Barrington Rd,"Hoffman
Estates",IL,60169,Ascension Health,N,4,264,.74,.25,297% ,$313.58,23,.46,.23,197% ,"$16,769",1.20,.48,139% ,217%,349%,249% ,1.05,.37,.16,.11
140291,Good Shepherd Hospital,450 West Highway 22,Barrington,IL,60010,"Advocate Aurora
Health",N,4,203,.35,.15,231% ,$232.54,21,.33,.19,172% ,"$14,838",.69,.35,97% ,216%,256% ,198% ,.60,.25,.09,.09
140292,Adventist Glenoaks Hospital,701 Winthrop Avenue,"Glendale
Heights",IL,60139,"Adventist Health
System",N,2,23,.06,.02,269% ,$293.31,11,.15,.11,132% ,"$9,839",.21,.14,138% ,132%,314%,155% ,.19,.12,.02,.01
140294,"Crossroads Community
Hospital",8 Doctors Park Road,Mount Vernon,IL,62864,Quorum Health,N,3,41,.44,.07,598% ,$527.70,,,,,,,,,,671%,,,,,
140304,Adventist Bolingbrook Hospital,"500 Remington
Boulevard",Bolingbrook,IL,60440,"Adventist Health
System",N,2,138,.30,.11,264% ,$267.77,,,,,,,,,,302%,,,,,
141307,"Pinckneyville Community
Hospital",5383 State Route 154,Pinckneyville,IL,62274,SSM Health,Y,2,35,.03,.02,123% ,$229.00,,,,,,,,,,119% ,,,,,
141311,Fairfield Memorial Hospital,303 N W 11th Street,Fairfield,IL,62837,"Alliant Management
Services",Y,4,12,.01,.00,195% ,$192.81,,,,,,,,,,220%,,,,,
141312,Rochelle Community Hospital,900 N 2nd St,Rochelle,IL,61068,"OSF Healthcare
System",Y,4,136,.37,.15,254% ,$567.87,,,,,,,,,,246%,,,,,
141319,Hammond-Henry Hospital,600 N College Avenue,Geneseo,IL,61254,"HealthTech
Management Services",Y,4,15,.02,.01,175% ,$235.78,,,,,,,,,,172%,,,,,
141320,Paris Community Hospital,721 E Court Street,Paris,IL,61944,"Alliant Management
Services",Y,4,141,.20,.11,171% ,$240.51,,,,,,,,,,169%,,,,,
141321,Franklin Hospital,201 Bailey Lane,Benton,IL,62812,Independent (CAH),Y,3,161,.12,.08,138% ,$225.61,,,,,,,,,,132%,,,,,
141322,"Abraham Lincoln Memorial
Hospital",200 Stahlhut Drive,Lincoln,IL,62656,"Memorial Health
System",Y,4,20,.03,.02,176% ,$292.80,,,,,,,,,,180%,,,,,
141323,Massac Memorial Hospital,"28 Chick Street, Po Box
850",Metropolis,IL,62960,Independent (CAH),Y,4,99,.21,.10,208% ,$282.12,,,,,,,,,,229%,,,,,
141324,Ferrell Hospital,1201 Pine Street,Eldorado,IL,62930,Independent (CAH),Y,NA,52,.05,.04,128% ,$153.46,,,,,,,,,,119%,,,,,
141326,Hamilton Memorial Hospital,611 S Marshall Avenue,Mcleansboro,IL,62859,Independent (CAH),Y,2,33,.04,.03,134% ,$182.28,,,,,,,,,,126%,,,,,
141327,Wabash General Hospital,1418 College Drive,Mount Carmel,IL,62863,"Alliant Management
Services",Y,4,40,.06,.04,143% ,$236.48,,,,,,,,,,140%,,,,,
141328,"Hardin County General
Hospital",Ferrell Road,Rosiclare,IL,62982,Independent (CAH),Y,2,27,.05,.02,272% ,$484.56,,,,,,,,,,286%,,,,,
141331,Marshall Browning Hospital,"900 North Washington
Street",Du Quoin,IL,62832,Independent (CAH),Y,2,69,.08,.05,155% ,$219.58,,,,,,,,,,152%,,,,,
141334,"Saint Joseph Memorial
Hospital",2 South Hospital Drive,Murphysboro,IL,62966,"Southern Illinois
Healthcare",Y,3,77,.16,.09,188% ,$267.90,,,,,,,,,,184%,,,,,
141335,Harvard Memorial Hospital,901 S Grant Street,Harvard,IL,60033,Mercy Health,Y,3,128,.36,.18,197% ,$376.26,,,,,,,,,,175%,,,,,
141336,"St. Josephs Hospital-Highland
Il",12866 Troxler Avenue,Highland,IL,62249,"Hospital Sisters
Health System",Y,5,18,.02,.01,167% ,$329.44,,,,,,,,,,154%,,,,,
141337,Perry Memorial Hospital,530 Park Avenue East,Princeton,IL,61356,"OSF Healthcare
System",Y,3,14,.04,.02,263% ,$343.88,,,,,,,,,,243%,,,,,
141339,Taylorville Memorial Hospital,"201 East Pleasant
Street",Taylorville,IL,62568,"Memorial Health
System",Y,4,127,.23,.14,170% ,$283.71,,,,,,,,,,168%,,,,,
141341,Pana Community Hospital,101 E Ninth Street,Pana,IL,62557,"Hospital Sisters
Health System",Y,3,40,.05,.03,170% ,$244.07,,,,,,,,,,168%,,,,,
141342,Union County Hospital District,517 North Main Street,Anna,IL,62906,Quorum Health,Y,4,38,.08,.03,264% ,$425.99,,,,,,,,,,274%,,,,,
141343,Crawford Memorial Hospital,1000 North Allen Street,Robinson,IL,62454,QHR,Y,4,25,.05,.02,251% ,$376.63,,,,,,,,,,264%,,,,,
141345,Salem Township Hospital,1201 Ricker Drive,Salem,IL,62881,BJC Healthcare,Y,4,17,.03,.02,142% ,$270.64,,,,,,,,,,138%,,,,,
141349,Sparta Community Hospital,818 E Broadway,Sparta,IL,62286,Independent (CAH),Y,3,18,.02,.01,203% ,$335.88,,,,,,,,,,207%,,,,,
150001,Johnson Memorial Hospital,1125 W Jefferson St,Franklin,IN,46131,Independent (IPPS),N,3,1901,4.17,1.49,280% ,$267.20,65,.86,.45,189% ,"$15,031",5.02,1.94,119% ,212% ,320%,258% ,4.55,1.54,.48,.40
150002,Methodist Hospitals  Inc,600 Grant St,Gary,IN,46402,"The Methodist
Hospitals",N,3,421,.87,.31,285% ,$271.37,15,.27,.11,250% ,"$19,609",1.14,.42,121% ,276%,324% ,275% ,1.05,.34,.09,.08
150004,Franciscan Health Hammond,5454 Hohman Ave,Hammond,IN,46320,Franciscan Health,N,3,142,.34,.12,272% ,$255.68,11,.11,.08,141% ,"$10,994",.45,.20,138% ,147%,301%,221% ,.40,.17,.05,.04
150005,Hendricks Regional Health,1000 E Main St,Danville,IN,46122,"Hendricks Regional
Health",N,4,4611,11.07,3.62,306% ,$286.71,261,3.49,1.63,214% ,"$16,204",14.56,5.25,124% ,235%,349%,277% ,13.34,4.27,1.22,.98
150007,"Community Howard Regional
Health",3500 S Lafountain St,Kokomo,IN,46902,"Community Health
Network",N,4,988,2.73,.77,356% ,$333.51,68,1.42,.54,264% ,"$19,187",4.16,1.31,120% ,283%,413%,318% ,3.90,1.10,.25,.21
150008,St. Catherine Hospital,4321 Fir St,East Chicago,IN,46312,"Community
Foundation of
Northwest",N,4,169,.36,.14,262% ,$243.34,,,,,,,,,,292%,,,,,
150009,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,Lifepoint Health,N,2,1164,2.29,1.29,177% ,$148.61,136,1.38,1.00,138% ,"$10,251",3.67,2.29,111% ,147%,188%,160% ,3.25,1.91,.43,.39
150010,"St. Joseph Hospital & Health
Center",1907 W Sycamore St,Kokomo,IN,46904,Ascension Health,N,4,1129,3.15,.89,353% ,$328.80,87,1.46,.61,239% ,"$19,464",4.61,1.50,120% ,289%,406%,307% ,4.22,1.17,.40,.33
150011,Marion General Hospital,441 N Wabash Ave,Marion,IN,46952,Independent (IPPS),N,3,709,2.13,.57,374% ,$382.00,19,.31,.14,223% ,"$17,876",2.44,.71,122% ,241%,442%,344% ,2.27,.57,.17,.14
150012,"St. Josephs Reg Med Center
S. Bend",5215 Holy Cross Pkwy,Mishawaka,IN,46545,Trinity Health,N,3,736,2.46,.93,263% ,$242.47,91,3.14,1.16,270% ,"$24,267",5.60,2.10,131% ,298%,294%,267% ,5.11,1.72,.49,.38
150015,"Franciscan Health Michigan
City",301 W Homer St,Michigan City,IN,46360,Franciscan Health,N,4,440,1.23,.46,268% ,$247.37,13,.21,.08,272% ,"$20,658",1.44,.54,125% ,308%,304%,269% ,1.31,.43,.13,.11
150017,Lutheran Hospital Of Indiana,7950 W Jefferson Blvd,Fort Wayne,IN,46804,"Community Health
Systems",N,2,2899,7.73,2.57,301% ,$271.97,187,5.02,1.76,285% ,"$19,796",12.75,4.33,120% ,311%,356%,294% ,11.74,3.49,1.01,.84
150018,Elkhart General Hospital,600 E Blvd,Elkhart,IN,46514,"Beacon Health
System",N,4,278,.83,.28,303% ,$270.57,23,.45,.16,281% ,"$20,961",1.28,.44,198% ,300%,326%,295% ,1.13,.36,.15,.08
150021,Parkview Hospital,"11109 Parkview Plaza
Drive",Fort Wayne,IN,46845,"Parkview Health
System",N,4,5222,22.07,4.75,465% ,$416.25,470,11.68,3.82,306% ,"$22,659",33.75,8.57,125% ,335%,558%,394% ,31.85,7.04,1.90,1.52
150022,"Franciscan Health
Crawfordsville",1710 Lafayette Rd,Crawfordsville,IN,47933,Franciscan Health,N,3,740,1.45,.48,299% ,$291.82,,,,,,,,,,336% ,,,,,
150023,Union Hospital  Inc.,1606 N Seventh St,Terre Haute,IN,47804,Union Health,N,3,3825,13.84,4.45,311% ,$285.44,304,5.18,2.36,220% ,"$17,729",19.02,6.81,121% ,242%,354%,279% ,17.52,5.58,1.50,1.23
150024,Eskenazi Health,720 Eskenazi Avenue,Indianapolis,IN,46202,Eskenazi Health,N,5,1373,1.86,.86,215% ,$237.52,93,2.89,1.64,177% ,"$24,818",4.75,2.50,155% ,178%,236%,190% ,4.27,2.19,.48,.31
150026,Goshen Hospital,200 High Park Ave,Goshen,IN,46526,Goshen Health,N,4,511,1.73,.51,337% ,$318.04,56,1.47,.48,306% ,"$26,674",3.20,.99,169% ,360%,372%,322% ,2.82,.77,.38,.22
150030,"Henry County Memorial
Hospital",1000 N 16th St,New Castle,IN,47362,Henry County Hospital,N,4,291,.76,.32,237% ,$229.02,,,,,,,,,,261%,,,,,
150034,St. Mary Medical Center  Inc.,1500 S Lake Park Ave,Hobart,IN,46342,"Community
Foundation of
Northwest",N,5,842,1.46,.54,272% ,$260.90,25,.42,.19,220% ,"$15,464",1.88,.73,119% ,235%,308% ,258% ,1.73,.60,.15,.13
150035,Porter Memorial Hospital,85 East Us Hwy 6,Valparaiso,IN,46383,"Community Health
Systems",N,4,1381,2.53,1.11,229% ,$210.59,141,2.29,1.08,212% ,"$18,297",4.83,2.19,123% ,240%,253%,221% ,4.26,1.73,.57,.46
150037,Hancock Regional Hospital,801 N State St,Greenfield,IN,46140,Hancock Health,N,3,2144,4.14,1.16,357% ,$337.79,49,.77,.35,220% ,"$16,207",4.92,1.51,133% ,241%,413%,325% ,4.53,1.22,.39,.29
150042,Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591,"Good Samaritan
Hospital",N,4,488,1.21,.32,374% ,$331.79,29,.63,.20,313% ,"$21,806",1.83,.52,120% ,351%,442% ,351% ,1.71,.42,.12,.10
150044,Baptist Health Floyd,1850 State St,New Albany,IN,47150,"Baptist Healthcare
System",N,3,2361,4.09,2.21,185% ,$164.52,239,3.79,2.13,178% ,"$12,316",7.88,4.34,101% ,195%,205%,182% ,7.06,3.53,.82,.81
150045,Dekalb Memorial Hospital,1316 E Seventh St,Auburn,IN,46706,Independent (IPPS),N,3,165,.25,.09,269% ,$227.53,,,,,,,,,,302%,,,,,
